"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","ambiguity_a","continuation_a","group_a"
"5758","Native","Native 1",6,"continuation","fp","continuation fp",2,0,270,270,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"5761","Native","Native 1",1,"continuation","fp","continuation fp",1,0,132,132,"Ambiguous","Consistent",0.5,-0.5,-0.5
"5762","Native","Native 1",16,"continuation","fp","continuation fp",4,0,225,225,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"5764","Native","Native 1",13,"continuation","fp","continuation fp",1,0,311,311,"Ambiguous","Consistent",0.5,-0.5,-0.5
"5765","Native","Native 1",3,"continuation","fp","continuation fp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"5767","Native","Native 1",10,"continuation","fp","continuation fp",2,0,989,989,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"5769","Native","Native 1",7,"continuation","fp","continuation fp",3,0,373,373,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"5771","Native","Native 1",20,"continuation","fp","continuation fp",4,0,375,375,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"5772","Native","Native 1",4,"continuation","fp","continuation fp",4,0,405,405,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"5773","Native","Native 1",8,"continuation","fp","continuation fp",4,0,197,197,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"5775","Native","Native 1",15,"continuation","fp","continuation fp",3,0,176,176,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"5777","Native","Native 1",22,"continuation","fp","continuation fp",2,0,397,397,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"5779","Native","Native 1",19,"continuation","fp","continuation fp",3,0,270,270,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"5782","Native","Native 1",12,"continuation","fp","continuation fp",4,0,564,564,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"5785","Native","Native 1",23,"continuation","fp","continuation fp",3,0,548,548,"Ambiguous","Inconsistent",0.5,0.5,-0.5
