"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","ambiguity_a","continuation_a","group_a"
"9596","Native","Native 1",6,"disamb","rp","disamb rp",2,0,407,407,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9599","Native","Native 1",1,"disamb","rp","disamb rp",1,0,1786,1786,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9600","Native","Native 1",16,"disamb","rp","disamb rp",4,0,882,882,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9602","Native","Native 1",13,"disamb","rp","disamb rp",1,0,547,547,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9603","Native","Native 1",3,"disamb","rp","disamb rp",3,0,186,186,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9605","Native","Native 1",10,"disamb","rp","disamb rp",2,0,211,211,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9607","Native","Native 1",7,"disamb","rp","disamb rp",3,0,362,362,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9609","Native","Native 1",20,"disamb","rp","disamb rp",4,1,0,NA,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9610","Native","Native 1",4,"disamb","rp","disamb rp",4,0,158,158,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9611","Native","Native 1",8,"disamb","rp","disamb rp",4,0,384,384,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9613","Native","Native 1",15,"disamb","rp","disamb rp",3,0,277,277,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9615","Native","Native 1",22,"disamb","rp","disamb rp",2,0,222,222,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9617","Native","Native 1",19,"disamb","rp","disamb rp",3,0,421,421,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9620","Native","Native 1",12,"disamb","rp","disamb rp",4,0,177,177,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9623","Native","Native 1",23,"disamb","rp","disamb rp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9625","Native","Native 1",17,"disamb","rp","disamb rp",1,0,360,360,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9626","Native","Native 1",21,"disamb","rp","disamb rp",1,0,656,656,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9630","Native","Native 1",24,"disamb","rp","disamb rp",4,0,398,398,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9632","Native","Native 1",14,"disamb","rp","disamb rp",2,0,536,536,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9633","Native","Native 1",11,"disamb","rp","disamb rp",3,0,1144,1144,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9634","Native","Native 1",9,"disamb","rp","disamb rp",1,0,444,444,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9638","Native","Native 1",5,"disamb","rp","disamb rp",1,0,347,347,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9639","Native","Native 1",2,"disamb","rp","disamb rp",2,0,188,188,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9642","Native","Native 1",18,"disamb","rp","disamb rp",2,0,350,350,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9647","Native","Native 2",20,"disamb","rp","disamb rp",1,1,0,NA,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9648","Native","Native 2",5,"disamb","rp","disamb rp",2,0,295,295,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9649","Native","Native 2",12,"disamb","rp","disamb rp",1,0,189,189,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9650","Native","Native 2",2,"disamb","rp","disamb rp",3,0,754,754,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9651","Native","Native 2",9,"disamb","rp","disamb rp",2,0,366,366,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9655","Native","Native 2",16,"disamb","rp","disamb rp",1,0,180,180,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9656","Native","Native 2",1,"disamb","rp","disamb rp",2,0,182,182,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9659","Native","Native 2",13,"disamb","rp","disamb rp",2,1,0,NA,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9660","Native","Native 2",10,"disamb","rp","disamb rp",3,0,322,322,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9665","Native","Native 2",7,"disamb","rp","disamb rp",4,1,0,NA,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9668","Native","Native 2",24,"disamb","rp","disamb rp",1,0,182,182,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9671","Native","Native 2",23,"disamb","rp","disamb rp",4,0,191,191,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9672","Native","Native 2",4,"disamb","rp","disamb rp",1,0,245,245,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9675","Native","Native 2",19,"disamb","rp","disamb rp",4,0,341,341,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9676","Native","Native 2",22,"disamb","rp","disamb rp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9679","Native","Native 2",8,"disamb","rp","disamb rp",1,0,277,277,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9680","Native","Native 2",3,"disamb","rp","disamb rp",4,0,177,177,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9681","Native","Native 2",17,"disamb","rp","disamb rp",2,0,261,261,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9684","Native","Native 2",21,"disamb","rp","disamb rp",2,1,0,NA,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9685","Native","Native 2",14,"disamb","rp","disamb rp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9686","Native","Native 2",18,"disamb","rp","disamb rp",3,0,1452,1452,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9688","Native","Native 2",6,"disamb","rp","disamb rp",3,1,0,NA,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9690","Native","Native 2",11,"disamb","rp","disamb rp",4,0,223,223,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9691","Native","Native 2",15,"disamb","rp","disamb rp",4,1,0,NA,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9694","Native","Native 3",18,"disamb","rp","disamb rp",4,0,303,303,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9697","Native","Native 3",4,"disamb","rp","disamb rp",2,0,153,153,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"9701","Native","Native 3",15,"disamb","rp","disamb rp",1,0,1329,1329,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9702","Native","Native 3",10,"disamb","rp","disamb rp",4,0,320,320,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9703","Native","Native 3",23,"disamb","rp","disamb rp",1,0,343,343,"Ambiguous","Consistent",0.5,-0.5,-0.5
"9704","Native","Native 3",17,"disamb","rp","disamb rp",3,0,184,184,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9706","Native","Native 3",9,"disamb","rp","disamb rp",3,0,379,379,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"9707","Native","Native 3",22,"disamb","rp","disamb rp",4,0,305,305,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"9716","Native","Native 3",13,"disamb","rp","disamb rp",3,0,1086,1086,"Ambiguous","Inconsistent",0.5,0.5,-0.5
