"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","ambiguity_a","continuation_a","group_a"
"19191","Native","Native 1",6,"disamb","tt","disamb tt",2,0,530,530,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19194","Native","Native 1",1,"disamb","tt","disamb tt",1,0,1038,1038,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19195","Native","Native 1",16,"disamb","tt","disamb tt",4,0,600,600,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19197","Native","Native 1",13,"disamb","tt","disamb tt",1,0,1281,1281,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19198","Native","Native 1",3,"disamb","tt","disamb tt",3,0,622,622,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19200","Native","Native 1",10,"disamb","tt","disamb tt",2,0,211,211,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19202","Native","Native 1",7,"disamb","tt","disamb tt",3,0,638,638,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19204","Native","Native 1",20,"disamb","tt","disamb tt",4,0,231,231,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19205","Native","Native 1",4,"disamb","tt","disamb tt",4,0,254,254,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19206","Native","Native 1",8,"disamb","tt","disamb tt",4,0,1131,1131,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19208","Native","Native 1",15,"disamb","tt","disamb tt",3,0,1056,1056,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19210","Native","Native 1",22,"disamb","tt","disamb tt",2,0,388,388,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19212","Native","Native 1",19,"disamb","tt","disamb tt",3,0,1125,1125,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19215","Native","Native 1",12,"disamb","tt","disamb tt",4,0,177,177,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19218","Native","Native 1",23,"disamb","tt","disamb tt",3,0,1095,1095,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19220","Native","Native 1",17,"disamb","tt","disamb tt",1,0,360,360,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19221","Native","Native 1",21,"disamb","tt","disamb tt",1,0,1199,1199,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19225","Native","Native 1",24,"disamb","tt","disamb tt",4,0,398,398,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19227","Native","Native 1",14,"disamb","tt","disamb tt",2,0,673,673,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19228","Native","Native 1",11,"disamb","tt","disamb tt",3,0,899,899,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19229","Native","Native 1",9,"disamb","tt","disamb tt",1,0,444,444,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19233","Native","Native 1",5,"disamb","tt","disamb tt",1,0,347,347,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19234","Native","Native 1",2,"disamb","tt","disamb tt",2,0,775,775,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19237","Native","Native 1",18,"disamb","tt","disamb tt",2,0,350,350,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19242","Native","Native 2",20,"disamb","tt","disamb tt",1,0,740,740,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19243","Native","Native 2",5,"disamb","tt","disamb tt",2,0,843,843,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19244","Native","Native 2",12,"disamb","tt","disamb tt",1,0,776,776,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19245","Native","Native 2",2,"disamb","tt","disamb tt",3,0,1391,1391,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19246","Native","Native 2",9,"disamb","tt","disamb tt",2,0,543,543,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19250","Native","Native 2",16,"disamb","tt","disamb tt",1,0,927,927,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19251","Native","Native 2",1,"disamb","tt","disamb tt",2,0,543,543,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19254","Native","Native 2",13,"disamb","tt","disamb tt",2,0,118,118,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19255","Native","Native 2",10,"disamb","tt","disamb tt",3,0,530,530,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19260","Native","Native 2",7,"disamb","tt","disamb tt",4,0,369,369,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19263","Native","Native 2",24,"disamb","tt","disamb tt",1,0,412,412,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19266","Native","Native 2",23,"disamb","tt","disamb tt",4,0,488,488,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19267","Native","Native 2",4,"disamb","tt","disamb tt",1,0,245,245,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19270","Native","Native 2",19,"disamb","tt","disamb tt",4,0,1082,1082,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19271","Native","Native 2",22,"disamb","tt","disamb tt",3,0,201,201,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19274","Native","Native 2",8,"disamb","tt","disamb tt",1,0,277,277,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19275","Native","Native 2",3,"disamb","tt","disamb tt",4,0,177,177,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19276","Native","Native 2",17,"disamb","tt","disamb tt",2,0,261,261,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19279","Native","Native 2",21,"disamb","tt","disamb tt",2,1,0,NA,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19280","Native","Native 2",14,"disamb","tt","disamb tt",3,0,319,319,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19281","Native","Native 2",18,"disamb","tt","disamb tt",3,0,627,627,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19283","Native","Native 2",6,"disamb","tt","disamb tt",3,0,105,105,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19285","Native","Native 2",11,"disamb","tt","disamb tt",4,0,518,518,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19286","Native","Native 2",15,"disamb","tt","disamb tt",4,0,532,532,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19289","Native","Native 3",18,"disamb","tt","disamb tt",4,0,488,488,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19292","Native","Native 3",4,"disamb","tt","disamb tt",2,0,358,358,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"19296","Native","Native 3",15,"disamb","tt","disamb tt",1,0,905,905,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19297","Native","Native 3",10,"disamb","tt","disamb tt",4,0,689,689,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19298","Native","Native 3",23,"disamb","tt","disamb tt",1,0,1656,1656,"Ambiguous","Consistent",0.5,-0.5,-0.5
"19299","Native","Native 3",17,"disamb","tt","disamb tt",3,0,919,919,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19301","Native","Native 3",9,"disamb","tt","disamb tt",3,0,1626,1626,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19302","Native","Native 3",22,"disamb","tt","disamb tt",4,0,305,305,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"19311","Native","Native 3",13,"disamb","tt","disamb tt",3,0,1269,1269,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19312","Native","Native 3",1,"disamb","tt","disamb tt",3,0,999,999,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"19313","Native","Native 3",5,"disamb","tt","disamb tt",3,0,586,586,"Ambiguous","Inconsistent",0.5,0.5,-0.5
