"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","ambiguity_a","continuation_a","group_a"
"17272","Native","Native 1",6,"spillover","rp","spillover rp",2,0,462,462,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17275","Native","Native 1",1,"spillover","rp","spillover rp",1,0,284,284,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17276","Native","Native 1",16,"spillover","rp","spillover rp",4,0,211,211,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17278","Native","Native 1",13,"spillover","rp","spillover rp",1,0,190,190,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17279","Native","Native 1",3,"spillover","rp","spillover rp",3,0,448,448,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17281","Native","Native 1",10,"spillover","rp","spillover rp",2,0,138,138,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17283","Native","Native 1",7,"spillover","rp","spillover rp",3,0,447,447,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17285","Native","Native 1",20,"spillover","rp","spillover rp",4,0,326,326,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17286","Native","Native 1",4,"spillover","rp","spillover rp",4,0,323,323,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17287","Native","Native 1",8,"spillover","rp","spillover rp",4,0,1373,1373,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17289","Native","Native 1",15,"spillover","rp","spillover rp",3,0,899,899,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17291","Native","Native 1",22,"spillover","rp","spillover rp",2,0,646,646,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17293","Native","Native 1",19,"spillover","rp","spillover rp",3,0,263,263,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17296","Native","Native 1",12,"spillover","rp","spillover rp",4,0,396,396,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17299","Native","Native 1",23,"spillover","rp","spillover rp",3,0,706,706,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17301","Native","Native 1",17,"spillover","rp","spillover rp",1,0,367,367,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17302","Native","Native 1",21,"spillover","rp","spillover rp",1,0,252,252,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17306","Native","Native 1",24,"spillover","rp","spillover rp",4,0,952,952,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17308","Native","Native 1",14,"spillover","rp","spillover rp",2,0,377,377,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17309","Native","Native 1",11,"spillover","rp","spillover rp",3,0,822,822,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17310","Native","Native 1",9,"spillover","rp","spillover rp",1,1,0,NA,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17314","Native","Native 1",5,"spillover","rp","spillover rp",1,0,854,854,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17315","Native","Native 1",2,"spillover","rp","spillover rp",2,0,187,187,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17318","Native","Native 1",18,"spillover","rp","spillover rp",2,0,481,481,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17323","Native","Native 2",20,"spillover","rp","spillover rp",1,0,1990,1990,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17324","Native","Native 2",5,"spillover","rp","spillover rp",2,0,206,206,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17325","Native","Native 2",12,"spillover","rp","spillover rp",1,0,179,179,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17326","Native","Native 2",2,"spillover","rp","spillover rp",3,0,1913,1913,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17327","Native","Native 2",9,"spillover","rp","spillover rp",2,0,791,791,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17331","Native","Native 2",16,"spillover","rp","spillover rp",1,0,260,260,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17332","Native","Native 2",1,"spillover","rp","spillover rp",2,0,892,892,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17335","Native","Native 2",13,"spillover","rp","spillover rp",2,0,225,225,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17336","Native","Native 2",10,"spillover","rp","spillover rp",3,0,982,982,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17341","Native","Native 2",7,"spillover","rp","spillover rp",4,0,445,445,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17344","Native","Native 2",24,"spillover","rp","spillover rp",1,0,506,506,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17347","Native","Native 2",23,"spillover","rp","spillover rp",4,0,515,515,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17348","Native","Native 2",4,"spillover","rp","spillover rp",1,0,203,203,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17351","Native","Native 2",19,"spillover","rp","spillover rp",4,0,186,186,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17352","Native","Native 2",22,"spillover","rp","spillover rp",3,0,399,399,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17355","Native","Native 2",8,"spillover","rp","spillover rp",1,0,218,218,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17356","Native","Native 2",3,"spillover","rp","spillover rp",4,0,702,702,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17357","Native","Native 2",17,"spillover","rp","spillover rp",2,0,797,797,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17360","Native","Native 2",21,"spillover","rp","spillover rp",2,0,463,463,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17361","Native","Native 2",14,"spillover","rp","spillover rp",3,0,624,624,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17362","Native","Native 2",18,"spillover","rp","spillover rp",3,0,382,382,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17364","Native","Native 2",6,"spillover","rp","spillover rp",3,0,125,125,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17366","Native","Native 2",11,"spillover","rp","spillover rp",4,1,0,NA,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17367","Native","Native 2",15,"spillover","rp","spillover rp",4,0,420,420,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17370","Native","Native 3",18,"spillover","rp","spillover rp",4,0,716,716,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17373","Native","Native 3",4,"spillover","rp","spillover rp",2,0,753,753,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17377","Native","Native 3",15,"spillover","rp","spillover rp",1,0,425,425,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17378","Native","Native 3",10,"spillover","rp","spillover rp",4,0,1079,1079,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17379","Native","Native 3",23,"spillover","rp","spillover rp",1,0,874,874,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17380","Native","Native 3",17,"spillover","rp","spillover rp",3,0,598,598,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17382","Native","Native 3",9,"spillover","rp","spillover rp",3,0,822,822,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17383","Native","Native 3",22,"spillover","rp","spillover rp",4,0,422,422,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17392","Native","Native 3",13,"spillover","rp","spillover rp",3,0,874,874,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17393","Native","Native 3",1,"spillover","rp","spillover rp",3,0,681,681,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17394","Native","Native 3",5,"spillover","rp","spillover rp",3,0,1391,1391,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17396","Native","Native 3",11,"spillover","rp","spillover rp",1,0,881,881,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17397","Native","Native 3",16,"spillover","rp","spillover rp",2,0,185,185,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17398","Native","Native 3",6,"spillover","rp","spillover rp",4,0,572,572,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17399","Native","Native 3",21,"spillover","rp","spillover rp",3,0,263,263,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17400","Native","Native 3",3,"spillover","rp","spillover rp",1,0,944,944,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17402","Native","Native 3",7,"spillover","rp","spillover rp",1,0,1494,1494,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17407","Native","Native 3",14,"spillover","rp","spillover rp",4,0,396,396,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17408","Native","Native 3",19,"spillover","rp","spillover rp",1,0,433,433,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17409","Native","Native 3",20,"spillover","rp","spillover rp",2,0,800,800,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17411","Native","Native 3",8,"spillover","rp","spillover rp",2,0,398,398,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17412","Native","Native 3",2,"spillover","rp","spillover rp",4,0,708,708,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17414","Native","Native 3",24,"spillover","rp","spillover rp",2,0,429,429,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17415","Native","Native 3",12,"spillover","rp","spillover rp",2,0,754,754,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17416","Native","Native 4",5,"spillover","rp","spillover rp",4,0,568,568,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17417","Native","Native 4",10,"spillover","rp","spillover rp",1,0,590,590,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17420","Native","Native 4",12,"spillover","rp","spillover rp",3,0,550,550,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17421","Native","Native 4",14,"spillover","rp","spillover rp",1,0,579,579,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17424","Native","Native 4",11,"spillover","rp","spillover rp",2,0,1144,1144,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17426","Native","Native 4",18,"spillover","rp","spillover rp",1,0,982,982,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17427","Native","Native 4",7,"spillover","rp","spillover rp",2,0,901,901,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17429","Native","Native 4",20,"spillover","rp","spillover rp",3,0,591,591,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17430","Native","Native 4",22,"spillover","rp","spillover rp",1,0,351,351,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17433","Native","Native 4",16,"spillover","rp","spillover rp",3,0,579,579,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17434","Native","Native 4",17,"spillover","rp","spillover rp",4,0,460,460,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17438","Native","Native 4",2,"spillover","rp","spillover rp",1,0,5793,5793,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17439","Native","Native 4",8,"spillover","rp","spillover rp",3,0,744,744,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17448","Native","Native 4",23,"spillover","rp","spillover rp",2,0,846,846,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17449","Native","Native 4",4,"spillover","rp","spillover rp",3,0,1335,1335,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17451","Native","Native 4",21,"spillover","rp","spillover rp",4,0,251,251,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17452","Native","Native 4",9,"spillover","rp","spillover rp",4,0,1257,1257,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17455","Native","Native 4",3,"spillover","rp","spillover rp",2,0,1214,1214,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17456","Native","Native 4",1,"spillover","rp","spillover rp",4,0,345,345,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17457","Native","Native 4",19,"spillover","rp","spillover rp",2,0,557,557,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17458","Native","Native 4",13,"spillover","rp","spillover rp",4,0,1076,1076,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17459","Native","Native 4",6,"spillover","rp","spillover rp",1,0,1307,1307,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17460","Native","Native 4",24,"spillover","rp","spillover rp",3,0,432,432,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17462","Native","Native 4",15,"spillover","rp","spillover rp",2,0,1508,1508,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17464","Native","Native 5",13,"spillover","rp","spillover rp",1,0,565,565,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17465","Native","Native 5",6,"spillover","rp","spillover rp",2,0,173,173,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17466","Native","Native 5",21,"spillover","rp","spillover rp",1,0,645,645,"Ambiguous","Consistent",0.5,-0.5,-0.5
"17467","Native","Native 5",24,"spillover","rp","spillover rp",4,0,807,807,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17472","Native","Native 5",11,"spillover","rp","spillover rp",3,0,317,317,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17473","Native","Native 5",18,"spillover","rp","spillover rp",2,0,241,241,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17475","Native","Native 5",16,"spillover","rp","spillover rp",4,0,185,185,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17477","Native","Native 5",7,"spillover","rp","spillover rp",3,0,686,686,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17484","Native","Native 5",3,"spillover","rp","spillover rp",3,0,715,715,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"17489","Native","Native 5",14,"spillover","rp","spillover rp",2,0,358,358,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17490","Native","Native 5",20,"spillover","rp","spillover rp",4,0,514,514,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17491","Native","Native 5",2,"spillover","rp","spillover rp",2,0,268,268,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"17492","Native","Native 5",8,"spillover","rp","spillover rp",4,0,349,349,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"17494","Native","Native 5",15,"spillover","rp","spillover rp",3,0,254,254,"Ambiguous","Inconsistent",0.5,0.5,-0.5
