"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","ambiguity_a","continuation_a","group_a"
"26867","Native","Native 1",6,"spillover","tt","spillover tt",2,0,462,462,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"26870","Native","Native 1",1,"spillover","tt","spillover tt",1,0,284,284,"Ambiguous","Consistent",0.5,-0.5,-0.5
"26871","Native","Native 1",16,"spillover","tt","spillover tt",4,0,389,389,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"26873","Native","Native 1",13,"spillover","tt","spillover tt",1,0,522,522,"Ambiguous","Consistent",0.5,-0.5,-0.5
"26874","Native","Native 1",3,"spillover","tt","spillover tt",3,0,721,721,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"26876","Native","Native 1",10,"spillover","tt","spillover tt",2,0,269,269,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"26878","Native","Native 1",7,"spillover","tt","spillover tt",3,0,418,418,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"26880","Native","Native 1",20,"spillover","tt","spillover tt",4,0,548,548,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"26881","Native","Native 1",4,"spillover","tt","spillover tt",4,0,553,553,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"26882","Native","Native 1",8,"spillover","tt","spillover tt",4,0,1164,1164,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"26884","Native","Native 1",15,"spillover","tt","spillover tt",3,0,1106,1106,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"26886","Native","Native 1",22,"spillover","tt","spillover tt",2,0,388,388,"Unambiguous","Consistent",-0.5,-0.5,-0.5
"26888","Native","Native 1",19,"spillover","tt","spillover tt",3,0,558,558,"Ambiguous","Inconsistent",0.5,0.5,-0.5
"26891","Native","Native 1",12,"spillover","tt","spillover tt",4,0,396,396,"Unambiguous","Inconsistent",-0.5,0.5,-0.5
"26894","Native","Native 1",23,"spillover","tt","spillover tt",3,0,706,706,"Ambiguous","Inconsistent",0.5,0.5,-0.5
